date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:01	54910/54910	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2022:07:10%20GMT	https://appco.themetags.com/index-8.html	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/index-8.html	(from )
20:31:02	219/219	---M--	200	added ('OK')	text/plain	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/robots.txt		(from )
20:31:02	1984/1984	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/img/favicon.png	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/img/favicon.png	(from https://appco.themetags.com/index-8.html)
20:31:03	155764/155764	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/css/bootstrap.min.css	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/css/bootstrap.min.css	(from https://appco.themetags.com/index-8.html)
20:31:03	7698/7698	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/css/magnific-popup.css	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/css/magnific-popup.css	(from https://appco.themetags.com/index-8.html)
20:31:04	17531/17531	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/css/themify-icons.css	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/css/themify-icons.css	(from https://appco.themetags.com/index-8.html)
20:31:04	58139/58139	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/css/animate.min.css	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/css/animate.min.css	(from https://appco.themetags.com/index-8.html)
20:31:04	3356/3356	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/css/owl.carousel.min.css	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/css/owl.carousel.min.css	(from https://appco.themetags.com/index-8.html)
20:31:05	1018/1018	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/css/owl.theme.default.min.css	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/css/owl.theme.default.min.css	(from https://appco.themetags.com/index-8.html)
20:31:05	71491/71491	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Feb%202021%2002:15:22%20GMT	https://appco.themetags.com/css/style.css	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/css/style.css	(from https://appco.themetags.com/index-8.html)
20:31:05	2124/2124	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/css/responsive.css	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/css/responsive.css	(from https://appco.themetags.com/index-8.html)
20:31:05	59912/59912	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2022:04:58%20GMT	https://appco.themetags.com/index-3.html	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/index-3.html	(from https://appco.themetags.com/index-8.html)
20:31:06	3005/3005	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Apr%202020%2023:46:22%20GMT	https://appco.themetags.com/img/logo-color-1x.png	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/img/logo-color-1x.png	(from https://appco.themetags.com/index-8.html)
20:31:06	67919/67919	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2023:40:58%20GMT	https://appco.themetags.com/index.html	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/index.html	(from https://appco.themetags.com/index-8.html)
20:31:06	68299/68299	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Feb%202021%2022:04:24%20GMT	https://appco.themetags.com/index-2.html	C:/Users/DESIGN/Desktop/JOB/appco.themetags.com/index-2.html	(from https://appco.themetags.com/index-8.html)
